outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address
Hum sabka dawa bajar,PH111102,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6091005,76.9848734,Roshan pura road
R.K Medicos,PH089739,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6486569,77.116027,Shop No.1 DDA market
Mishra Chemist,PH104247,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7290925,77.2089497,29/20 colony part-2 Surendra colony
New Suhail Medicos,PH127780,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6922968,77.2830525,"H. No.-178, Gali No-5 Kardam puri"
S.R. Trading,MGS08922,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Supermarket,[object Object],28.5826657,77.0887821,"Rzg-1,Dev Kunj,Raj Nagar part 2"
Mannu Shop(ROA)-Platinum,PS002345,Metro > ASE-SPT-NCR-East > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.68210218,77.2989655,"SHOP NO 3 B 3/199, YAMUNA VIHAR, DELHI"
K.P Pharmacy,PH104219,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7307389,77.2134655,Shop no 2 kh no 28/2/1 gali no 10
New India Medicos(ROA),WP000036,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Wholesale Pharmacy,[object Object],28.657504,77.2349124,Bhagirath110006
Parashar medical store,PH108150,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7410947,77.2020891,228/2 kh no.24/19 surender colony
Verma medical store,PH106194,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5910438,76.994572,Shop no 1 ground floor H no 3 village
Katyani Medical Store,PH020259,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4953633,77.1840365,Block C 512 Shop No 1 Chatrapur
Dr Anil Sood(ROA)-Silver,CL000535,Metro > ASE-SPT-NCR-North-West 1 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Clinic,[object Object],28.5814536,77.2405391,N-29 B Jagpura New Delhi
Ashoka medicos,PH114819,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7309188,77.2087914,Shop no-9 219 ground floor kh no-
JAN SEWA MEDICOS,PH117211,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6448196,77.2411016,"57,DAYANAND ROAD DARYA GANJ"
ASHOKA BROS,DS019267,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Super Grocery,[object Object],28.6405473,77.094948,11-47 TILAK NAGAR NEW DELHI 110018
Naaz medicos,PH101125,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6942447,77.291325,"A-225,33 futa road, Mustafa road"
VERMA MEDICOS,PH095970,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6435157,77.0969103,SHOP NO 3 GROUND FLOOR K-
Shimla Medicos,PH111103,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7481246,77.1997514,Shop no 4 Philips Road Sant Nagar
SR Trading,MGS00964,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Supermarket,[object Object],28.5826223,77.0887872,"RZG-1, Lower Ground Floor,Dev Kunj,Sec-7 Dwarka"
Y.S PET SHOP-Silver,PS000596,Metro > ASE-SPT-NCR-North-West 1 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.6192661,77.0593132,"J-1,ARYA SAMAJ ROAD UTTAm Nagar  New Delhi"
Noor Store,WG001056,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Wholesale Grocery,[object Object],28.6941258,77.2837443,"Gali No. -5 Flate wala Road, Kabir"
A Pet Point Speed Kennel-Silver,BR000292,Metro > ASE-SPT-NCR-North-West 1 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.6202975,77.0368357,A1/6 Rama Park Metro Pillar No.764 Near Dwarka Mor Metro Station Uttam Nagar Delhi
SINGH MEDICOS,PH059470,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6507517,77.12681,"B-33 SHOP NO.2 DOUBLE STORY, RAMESH NAGAR"
Life care medicos,PH124161,Metro > ASE-GT-NCR-East > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.705729,77.2831256,D-1 main road ganga vihar
