outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address,loginId
Shivalay Medicos,PH053315,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.635254,77.1441608,"B-615 Budh Nagar ,Inderpuri",DSR-GT-NCR-424
ASHU MEDICOS,PH080717,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6487112,77.1160177,"M-187, 25YARD RAGHUBIR NAGAR",DSR-GT-DEL-783
Shri shayam medical,PH115931,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6959167,77.0814783,"U-1/17,18 dda market mangol puri",DSR-NCR-037
kalka medicos,PH052914,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.573438,77.2257983,shop no 1465 -B Gurudwara road,DSR-NCR-041
Raj Medicos  ( om vihar phase -5 ),PH088536,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6290637,77.0470686,Plot No -71 Om vihar phase -5 40,DSR-GT-NCR-760
R.K. PHARMA-Silver,PS021333,Metro > ASE-SPT-NCR-North-West 1 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.5438827,77.2999224,"F,28 ground floor abul fazal, enclave",DSR-SPT-NCR-402
All 4 Pets-Gold,PS009745,Metro > ASE-SPT-NCR-North-West 1 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.5681915,77.2885696,"M8, Batla House,  Jamia Nagar, New Delhi 110025",DSR-SPT-NCR-402
RM  kalkaji hypermarket,DS018125,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Supermarket,[object Object],28.5366533,77.2577233,basement 13 kalkaji,DSR-GT-NCR-508
Maa Durga,PH110724,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6958351,77.081429,R-block 586 mangol puri near by McD,DSR-NCR-037
PANDEY MEDICAL,PH080146,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4991279,77.2509445,"G-93, gali no.4, 40 futta road,",DSR-GT-NCR-610
